YRQTR,Total Balances ($Billions),Number of Accounts (Millions),Total Commitments ($Billions),Account Balance (Active Accounts Only) (50th percentile),Account Balance (Active Accounts Only) (75th percentile),Account Balance (Active Accounts Only) (90th percentile),Current Credit Limit (50th Percentile),Current Credit Limit (75th Percentile),Current Credit Limit (90th Percentile),Current Credit Score (10th percentile),Current Credit Score (25th percentile),Current Credit Score (50th percentile),Utilization (Active Accounts Only) (50th percentile),Utilization (Active Accounts Only) (75th percentile),Utilization (Active Accounts Only) (90th percentile),% of Accounts with Credit Line Decrease,% of Accounts with Credit Line Increase,30+ Days Past Due Rates: Accounts Based,30+ Days Past Due Rates: Balances Based,60+ Days Past Due Rates: Accounts Based,60+ Days Past Due Rates: Balances Based,90+ Days Past Due Rates: Accounts Based,90+ Days Past Due Rates: Balances Based,Share of Accounts Making the Minimum Payment,Share of Accounts Making Greater Than the Minimum Payment but Less Than the Full Balance,Share of Accounts Making Full Balance Payment,Revolving Balances Only ($Billions)
2018Q2,$647.49 ,441.606,"$3,240.00 ",$420 ,"$1,984 ","$5,106 ","$4,800 ","$10,000 ","$18,000 ",631,692,760,10.05%,58.00%,93.84%,0.98%,3.75%,1.32%,2.38%,0.85%,1.66%,0.57%,1.17%,8.78%,30.58%,32.47%,$456.65 
2018Q3,$658.19 ,443.998,"$3,284.25 ",$426 ,"$1,996 ","$5,157 ","$5,000 ","$10,000 ","$18,000 ",629,691,760,10.01%,58.77%,94.45%,1.05%,3.59%,1.48%,2.58%,0.97%,1.79%,0.65%,1.22%,9.09%,30.49%,31.83%,$471.18 
2018Q4,$688.33 ,446.922,"$3,329.79 ",$444 ,"$2,025 ","$5,239 ","$5,000 ","$10,200 ","$18,200 ",628,691,760,11.00%,59.10%,94.76%,0.91%,3.99%,1.66%,2.73%,1.14%,1.92%,0.80%,1.35%,9.41%,30.44%,32.11%,$479.08 
2019Q1,$656.92 ,443.56,"$3,359.01 ",$362 ,"$1,901 ","$5,054 ","$5,000 ","$10,500 ","$18,500 ",628,691,761,7.97%,54.55%,93.09%,1.03%,3.42%,1.40%,2.67%,0.97%,1.92%,0.68%,1.39%,8.73%,31.27%,33.23%,$479.19 
2019Q2,$675.99 ,441.165,"$3,373.04 ",$394 ,"$1,969 ","$5,183 ","$5,000 ","$10,500 ","$18,700 ",630,692,762,8.79%,54.83%,93.50%,1.25%,3.95%,1.35%,2.47%,0.87%,1.73%,0.59%,1.22%,9.06%,30.24%,33.03%,$474.85 
2019Q3,$684.00 ,439.268,"$3,389.51 ",$400 ,"$1,981 ","$5,222 ","$5,000 ","$10,800 ","$19,000 ",629,692,761,8.75%,55.56%,94.05%,1.09%,3.84%,1.50%,2.66%,0.99%,1.86%,0.68%,1.29%,9.20%,30.41%,32.64%,$487.80 
2019Q4,$721.32 ,449.438,"$3,447.34 ",$453 ,"$2,057 ","$5,335 ","$5,000 ","$10,500 ","$18,800 ",625,689,760,10.99%,59.01%,94.81%,1.03%,3.88%,1.64%,2.79%,1.11%,1.99%,0.76%,1.40%,9.54%,30.15%,32.73%,$498.37 
2020Q1,$680.02 ,448.165,"$3,466.13 ",$371 ,"$1,916 ","$5,098 ","$5,000 ","$10,800 ","$19,000 ",625,689,760,7.98%,55.13%,93.41%,1.07%,3.27%,1.47%,2.75%,1.00%,1.97%,0.70%,1.42%,9.11%,31.00%,33.67%,$503.53 
2020Q2,$619.11 ,438.349,"$3,402.93 ",$279 ,"$1,699 ","$4,787 ","$5,000 ","$10,900 ","$19,000 ",633,695,765,5.47%,47.40%,89.71%,1.23%,1.23%,1.07%,2.29%,0.76%,1.72%,0.54%,1.26%,7.69%,28.99%,33.06%,$452.65 
2020Q3,$605.32 ,434.516,"$3,353.17 ",$294 ,"$1,689 ","$4,719 ","$5,000 ","$10,700 ","$19,000 ",638,698,766,5.96%,46.86%,89.85%,1.67%,1.22%,0.93%,2.00%,0.59%,1.35%,0.40%,0.93%,8.02%,28.58%,34.29%,$434.96 
2020Q4,$620.52 ,434.481,"$3,344.93 ",$359 ,"$1,781 ","$4,799 ","$5,000 ","$10,600 ","$18,900 ",638,698,766,8.07%,49.81%,91.41%,1.26%,2.51%,1.04%,2.20%,0.68%,1.55%,0.46%,1.09%,8.39%,28.52%,35.21%,$424.20 
2021Q1,$572.59 ,432.387,"$3,339.40 ",$279 ,"$1,600 ","$4,520 ","$5,000 ","$10,800 ","$19,000 ",640,700,768,5.58%,43.31%,88.37%,1.21%,2.53%,0.85%,1.97%,0.58%,1.46%,0.41%,1.08%,7.37%,28.82%,37.20%,$400.78 
2021Q2,$590.68 ,435.439,"$3,374.25 ",$305 ,"$1,670 ","$4,612 ","$5,000 ","$10,900 ","$19,000 ",644,702,768,6.56%,42.83%,87.69%,0.96%,3.86%,0.72%,1.48%,0.44%,1.04%,0.30%,0.75%,7.51%,27.62%,37.69%,$386.39 
2021Q3,$603.85 ,439.388,"$3,450.93 ",$315 ,"$1,696 ","$4,642 ","$5,000 ","$11,000 ","$19,000 ",642,701,767,6.59%,43.72%,88.88%,0.86%,4.78%,0.85%,1.52%,0.53%,1.02%,0.34%,0.69%,7.83%,28.20%,37.02%,$402.51 
2021Q4,$651.41 ,445.137,"$3,520.32 ",$386 ,"$1,854 ","$4,884 ","$5,000 ","$11,000 ","$19,400 ",640,699,766,8.71%,47.73%,91.00%,0.92%,4.66%,1.02%,1.63%,0.66%,1.11%,0.43%,0.75%,8.07%,28.26%,37.11%,$415.61 
2022Q1,$633.27 ,446.176,"$3,563.53 ",$337 ,"$1,782 ","$4,802 ","$5,000 ","$11,200 ","$19,500 ",638,699,766,6.88%,45.12%,89.97%,1.04%,4.23%,1.05%,1.73%,0.70%,1.20%,0.46%,0.83%,7.82%,28.90%,37.23%,$423.04 
2022Q2,$675.86 ,461.187,"$3,667.63 ",$357 ,"$1,865 ","$4,959 ","$5,000 ","$11,000 ","$19,500 ",639,699,766,7.42%,46.33%,91.05%,0.82%,4.52%,1.09%,1.69%,0.69%,1.14%,0.45%,0.78%,8.12%,27.98%,35.97%,$438.10 
2022Q3,$709.26 ,465.727,"$3,743.68 ",$386 ,"$1,951 ","$5,116 ","$5,000 ","$11,300 ","$19,900 ",636,697,765,7.97%,49.45%,92.86%,0.84%,4.24%,1.36%,2.03%,0.89%,1.36%,0.58%,0.90%,8.68%,28.76%,35.69%,$474.17 
2022Q4,$762.56 ,468.599,"$3,804.79 ",$451 ,"$2,093 ","$5,418 ","$5,001 ","$11,500 ","$20,000 ",633,695,764,10.00%,53.54%,94.24%,0.88%,4.33%,1.55%,2.34%,1.04%,1.60%,0.70%,1.09%,9.16%,28.82%,35.69%,$499.76 
2023Q1,$746.56 ,472.93,"$3,895.03 ",$389 ,"$2,000 ","$5,312 ","$5,200 ","$11,600 ","$20,000 ",631,694,764,7.73%,50.73%,93.12%,1.02%,3.91%,1.47%,2.56%,1.02%,1.81%,0.70%,1.27%,8.76%,29.35%,36.01%,$514.26 
2023Q2,$782.22 ,475.423,"$3,976.18 ",$421 ,"$2,100 ","$5,510 ","$5,400 ","$12,000 ","$20,000 ",633,696,766,8.48%,52.11%,93.88%,0.95%,3.85%,1.51%,2.59%,1.00%,1.79%,0.66%,1.24%,9.21%,28.67%,35.75%,$525.16 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Philadelphia Fed FR Y-14M Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
Website: https://www.philadelphiafed.org/surveys-and-data/large-bank-credit-card-and-mortgage-data,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: Phil.LargeBankData@phil.frb.org,,,,,,,,,,,,,,,,,,,,,,,,,,,
