"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment",,,,,,,,,,,,,,
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment",,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
5000,Arkansas,,Per capita current dollar statistics,,,,,,,,,,,
5000,Arkansas,10,  Per capita personal income 6,36287,36285,38218,39266,40179,41402,43029,43751,47147,51636,52618
5000,Arkansas,11,  Per capita disposable personal income 7,33083,32790,34568,35422,36197,37338,39143,39714,42993,46644,46922
5000,Arkansas,12,  Per capita personal consumption expenditures (PCE) 8,28227,28820,29915,30759,31828,32785,34151,34722,34979,39231,42245
5000,Arkansas,,Price indexes,,,,,,,,,,,
5000,Arkansas,13,  Regional price parities (RPPs) 9,90.033,90.19,89.904,89.827,89.845,88.259,87.199,87.72,88.356,89.445,(NA)
5000,Arkansas,14,  Implicit regional price deflator 10,90.033,91.411,92.499,92.625,93.572,93.602,94.451,96.434,98.203,103.417,(NA)
5000,Arkansas,,Employment,,,,,,,,,,,
5000,Arkansas,15,  Total employment (number of jobs),1565109,1569358,1587408,1610799,1629734,1639903,1658212,1663920,1639829,1686444,1755536
6000,California,,Real dollar statistics,,,,,,,,,,,
6000,California,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),2740550.3,2850970.3,2962792.1,2925146.9,3146185.3,3167460.8
6000,California,2,  Real personal income (millions of constant (2012) dollars) 2,1686834.4,1694852.2,1779397.6,1889769,1966517.8,1976276.1,2010956.5,2108670.2,2250420.2,2332657.6,(NA)
6000,California,3,  Real PCE (millions of constant (2012) dollars) 3,1291539.4,1315157.1,1355802.4,1403629.5,1460675.2,1478265.7,1513063.9,1571307.1,1486155.4,1611323.6,(NA)
6000,California,,Current dollar statistics (millions of dollars),,,,,,,,,,,
6000,California,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),2740550.3,2899530.9,3062158.9,3068809.4,3416939.4,3641643.4
6000,California,5,  Personal income,1814763,1840885.3,1955718,2097049.6,2191138,2295048.7,2411055.1,2537950.6,2767521.4,3013676.9,3006647.3
6000,California,6,  Disposable personal income,1590509.7,1587112.7,1679406.9,1786764.4,1871763.1,1961488.7,2057748.6,2169277.3,2368785.6,2520230,2464043.4
6000,California,7,  Personal consumption expenditures,1409173.4,1453927.1,1522216.3,1595724.1,1665899,1752123.2,1856117.3,1938018.7,1885028.5,2146539.4,2352361.6
6000,California,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
6000,California,8,  Real per capita personal income 4,44425,44262,46055,48498,50137,50129,50864,53319,56973,59449,(NA)
6000,California,9,  Real per capita PCE 5,34014,34346,35091,36022,37240,37497,38271,39732,37624,41066,(NA)
6000,California,,Per capita current dollar statistics,,,,,,,,,,,
6000,California,10,  Per capita personal income 6,47794,48076,50619,53817,55863,58214,60984,64174,70061,76991,77036
6000,California,11,  Per capita disposable personal income 7,41888,41448,43467,45854,47721,49754,52048,54852,59967,64385,63133
6000,California,12,  Per capita personal consumption expenditures (PCE) 8,37112,37970,39399,40952,42472,44443,46948,49004,47720,54838,60272
6000,California,,Price indexes,,,,,,,,,,,
6000,California,13,  Regional price parities (RPPs) 9,108.473,108.26,108.341,109.26,108.544,110.882,111.896,110.989,111.919,111.797,(NA)
6000,California,14,  Implicit regional price deflator 10,108.473,109.726,111.469,112.664,113.047,117.594,121.203,122.013,124.392,129.261,(NA)
6000,California,,Employment,,,,,,,,,,,
6000,California,15,  Total employment (number of jobs),20666919,21318697,21996861,22687175,23177961,23548874,24077466,24225068,23154091,23934549,25300974
8000,Colorado,,Real dollar statistics,,,,,,,,,,,
8000,Colorado,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),350209.1,365204.5,383596,380921.9,406961.5,416114.4
8000,Colorado,2,  Real personal income (millions of constant (2012) dollars) 2,230469.6,239354.9,258427.2,269350.2,272577.8,284013.5,306574.3,317157.4,328502.3,346082.1,(NA)
8000,Colorado,3,  Real PCE (millions of constant (2012) dollars) 3,184107,189499.1,198894,208802.8,219237,225746.5,239443.8,242286.3,235846.2,260464.8,(NA)
8000,Colorado,,Current dollar statistics (millions of dollars),,,,,,,,,,,
8000,Colorado,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),350209.1,373923.1,397701.6,397612.2,447051.7,491289
8000,Colorado,5,  Personal income,236033,247816.7,268453.1,279696,283678.7,303366.7,328112.7,351373.2,375157.8,417967.7,442213
8000,Colorado,6,  Disposable personal income,208823.5,217662.1,235238.8,243622.7,246133.3,264253.1,288001.5,307696.4,330301.7,363127.6,378514.4
8000,Colorado,7,  Personal consumption expenditures,189763.8,198951,210765.5,222464.3,233801.6,247983.2,261807.9,275707,273942.3,314541.5,346723.2
8000,Colorado,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
8000,Colorado,8,  Real per capita personal income 4,44418,45474,48367,49493,49298,50715,54000,55293,56792,59545,(NA)
8000,Colorado,9,  Real per capita PCE 5,35482,36002,37225,38367,39651,40311,42176,42240,40773,44814,(NA)
8000,Colorado,,Per capita current dollar statistics,,,,,,,,,,,
8000,Colorado,10,  Per capita personal income 6,45490,47082,50244,51394,51306,54171,57794,61258,64852,71923,75722
8000,Colorado,11,  Per capita disposable personal income 7,40246,41353,44028,44766,44515,47187,50729,53644,57098,62487,64815
8000,Colorado,12,  Per capita personal consumption expenditures (PCE) 8,36572,37798,39447,40878,42285,44281,46115,48067,47355,54126,59371
8000,Colorado,,Price indexes,,,,,,,,,,,
8000,Colorado,13,  Regional price parities (RPPs) 9,102.875,102.989,102.218,102.731,102.252,102.979,100.162,102.419,103.871,103.009,(NA)
8000,Colorado,14,  Implicit regional price deflator 10,102.875,104.384,105.169,105.932,106.493,109.213,108.492,112.592,115.447,119.099,(NA)
8000,Colorado,,Employment,,,,,,,,,,,
8000,Colorado,15,  Total employment (number of jobs),3262912,3357156,3467715,3574253,3666709,3760708,3857981,3894748,3821481,3988907,4187944
9000,Connecticut,,Real dollar statistics,,,,,,,,,,,
9000,Connecticut,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),273875.1,274582.8,274219.4,258625,268846.7,276668.8
9000,Connecticut,2,  Real personal income (millions of constant (2012) dollars) 2,217654.9,209363.6,216507.8,222029.2,223770.1,222843.5,234057.1,239455.9,243003.3,253919.7,(NA)
9000,Connecticut,3,  Real PCE (millions of constant (2012) dollars) 3,144931.2,145260.4,148397.9,151337.9,153123.5,154003.8,160903.6,162109,154420.4,169604.7,(NA)
9000,Connecticut,,Current dollar statistics (millions of dollars),,,,,,,,,,,
9000,Connecticut,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),273875.1,280535.4,285466.4,275801.9,295907.5,319344.8
9000,Connecticut,5,  Personal income,229133.1,223834.3,233084,239184.9,243698.7,249451.1,260582.2,267552.8,278373.6,292370.9,300750.7
9000,Connecticut,6,  Disposable personal income,196342,187172.5,195077.7,199677.4,205557.5,210110.4,221036.5,227023.8,236843.3,242810.7,244622.1
9000,Connecticut,7,  Personal consumption expenditures,154874.3,158507.2,164435.2,168667.3,171683.8,177076.1,183771.4,186538,184319,204252.3,219068.1
9000,Connecticut,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
9000,Connecticut,8,  Real per capita personal income 4,60372,57990,59897,61470,62026,61770,64812,66384,67496,70424,(NA)
9000,Connecticut,9,  Real per capita PCE 5,40200,40235,41054,41899,42444,42689,44555,44941,42891,47039,(NA)
9000,Connecticut,,Per capita current dollar statistics,,,,,,,,,,,
9000,Connecticut,10,  Per capita personal income 6,63555,61999,64482,66220,67550,69146,72157,74173,77383,80691,82938
9000,Connecticut,11,  Per capita disposable personal income 7,54460,51844,53968,55282,56978,58241,61207,62937,65838,67013,67460
9000,Connecticut,12,  Per capita personal consumption expenditures (PCE) 8,42958,43904,45491,46696,47588,49084,50888,51713,51237,56371,60413
9000,Connecticut,,Price indexes,,,,,,,,,,,
9000,Connecticut,13,  Regional price parities (RPPs) 9,106.36,106.73,106.431,106.393,106.54,107.134,104.116,103.721,104.922,102.603,(NA)
9000,Connecticut,14,  Implicit regional price deflator 10,106.36,108.175,109.503,109.708,110.96,113.619,112.776,114.023,116.615,118.63,(NA)
9000,Connecticut,,Employment,,,,,,,,,,,
9000,Connecticut,15,  Total employment (number of jobs),2223243,2246505,2266061,2288144,2301331,2300273,2314465,2297910,2217432,2289551,2391946
10000,Delaware,,Real dollar statistics,,,,,,,,,,,
10000,Delaware,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),69555.6,70856.4,74597.4,72550.3,74436.7,75172.6
10000,Delaware,2,  Real personal income (millions of constant (2012) dollars) 2,40635.3,41092,41848.1,44484,45113,46479.4,47743.6,49097.1,52229.5,53406,(NA)
10000,Delaware,3,  Real PCE (millions of constant (2012) dollars) 3,36160.8,36877.9,37067.4,38792.6,39313.9,40037,41022.4,42116.9,42042.5,45411.7,(NA)
10000,Delaware,,Current dollar statistics (millions of dollars),,,,,,,,,,,
10000,Delaware,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),69555.6,73376,78685.8,77615.1,82952.8,90208.3
10000,Delaware,5,  Personal income,40122.6,40677.8,42422.9,44626.3,45928.4,48077.1,51150.4,52740.7,55338.4,59172.3,64406.6
10000,Delaware,6,  Disposable personal income,35844.3,36092,37683.7,39461.6,40638.2,42485.7,45357.3,46413.6,48849.1,51324.2,55420.1
10000,Delaware,7,  Personal consumption expenditures,36028.7,36966.7,38631.3,39570.6,40564,42189.8,44457.3,45855.9,44676.8,50943.7,55535.4
10000,Delaware,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
10000,Delaware,8,  Real per capita personal income 4,44334,44395,44750,47093,47336,48341,49166,50033,52657,53226,(NA)
10000,Delaware,9,  Real per capita PCE 5,39452,39842,39637,41068,41251,41640,42244,42920,42386,45259,(NA)
10000,Delaware,,Per capita current dollar statistics,,,,,,,,,,,
10000,Delaware,10,  Per capita personal income 6,43775,43948,45364,47244,48192,50002,52674,53746,55778,58889,63243
10000,Delaware,11,  Per capita disposable personal income 7,39107,38993,40297,41776,42641,44187,46708,47298,49237,51079,54419
10000,Delaware,12,  Per capita personal consumption expenditures (PCE) 8,39308,39938,41310,41892,42563,43879,45782,46730,45032,50700,54532
10000,Delaware,,Price indexes,,,,,,,,,,,
10000,Delaware,13,  Regional price parities (RPPs) 9,99.545,98.816,100.081,98.745,99.058,98.585,99.214,98.779,96.542,97.677,(NA)
10000,Delaware,14,  Implicit regional price deflator 10,99.545,100.154,102.97,101.821,103.167,104.553,107.466,108.591,107.302,112.935,(NA)
10000,Delaware,,Employment,,,,,,,,,,,
10000,Delaware,15,  Total employment (number of jobs),534253,544691,556449,568832,578605,584693,597021,602766,592126,620352,651224
11000,District of Columbia,,Real dollar statistics,,,,,,,,,,,
11000,District of Columbia,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),134298.8,138056.8,138867.4,137762.3,142676.3,144029.6
11000,District of Columbia,2,  Real personal income (millions of constant (2012) dollars) 2,38903.1,38121.6,40155.8,43487.4,45795.5,46756.8,46973,48432.6,50237.2,50398.4,(NA)
11000,District of Columbia,3,  Real PCE (millions of constant (2012) dollars) 3,33181.8,33363.9,34214.6,35830.8,37420.6,38554.6,39360.6,40786.4,38602,41045.4,(NA)
11000,District of Columbia,,Current dollar statistics (millions of dollars),,,,,,,,,,,
11000,District of Columbia,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),134298.8,141240.2,145171,146935.3,156139.9,165060.5
11000,District of Columbia,5,  Personal income,42582.3,43213.8,46124,49741.7,52190.6,54158.7,56395.7,57492.3,60178.6,65205.6,64472.8
11000,District of Columbia,6,  Disposable personal income,36504.6,36636.6,39080.4,41864.1,44223.5,45919.1,47652.8,48178.2,50520.6,53687.2,51461.9
11000,District of Columbia,7,  Personal consumption expenditures,37299,38960.6,40640.2,42193,43503.2,45283.3,47906,49573.5,46913.2,52905,57595.3
11000,District of Columbia,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
11000,District of Columbia,8,  Real per capita personal income 4,61640,59126,61348,65332,67963,68665,68510,70457,72798,75216,(NA)
11000,District of Columbia,9,  Real per capita PCE 5,52575,51747,52271,53830,55534,56619,57408,59334,55937,61257,(NA)
11000,District of Columbia,,Per capita current dollar statistics,,,,,,,,,,,
11000,District of Columbia,10,  Per capita personal income 6,67470,67024,70466,74728,77453,79535,82254,83636,89703,97498,95970
11000,District of Columbia,11,  Per capita disposable personal income 7,57840,56823,59705,62894,65630,67434,69502,70087,75306,80275,76603
11000,District of Columbia,12,  Per capita personal consumption expenditures (PCE) 8,59099,60427,62088,63388,64561,66501,69871,72117,69929,79105,85732
11000,District of Columbia,,Price indexes,,,,,,,,,,,
11000,District of Columbia,13,  Regional price parities (RPPs) 9,110.715,113.246,113.385,112.448,110.691,110.107,111.709,109.546,111.256,111.271,(NA)
11000,District of Columbia,14,  Implicit regional price deflator 10,110.715,114.78,116.658,115.951,115.283,116.772,121,120.428,123.655,128.652,(NA)
11000,District of Columbia,,Employment,,,,,,,,,,,
11000,District of Columbia,15,  Total employment (number of jobs),834391,848230,860668,873204,892796,902843,914319,915212,866085,869738,904759
12000,Florida,,Real dollar statistics,,,,,,,,,,,
12000,Florida,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),1014866.9,1050433.8,1079271,1068377.5,1164778.2,1218430.2
12000,Florida,2,  Real personal income (millions of constant (2012) dollars) 2,791477.4,785341.8,829811.8,880225.7,904603.2,958599,1002847.5,1063735.1,1107489.2,1160013.8,(NA)
12000,Florida,3,  Real PCE (millions of constant (2012) dollars) 3,691302.8,705794.5,733711.4,767136.1,791447.7,816441,851835.6,878524.3,853048.5,941446.9,(NA)
12000,Florida,,Current dollar statistics (millions of dollars),,,,,,,,,,,
12000,Florida,4,  Gross domestic product (GDP),(NA),(NA),(NA),(NA),(NA),1014866.9,1072085.6,1127988.6,1140133,1292391.3,1439065
12000,Florida,5,  Personal income,794071.1,794604.1,848535.3,905450.5,938985.6,1011002.2,1078010.6,1145460.8,1221121.6,1376879.5,1441598.9
12000,Florida,6,  Disposable personal income,720430.1,712530.1,757871.4,802776.3,842025.1,890172.4,964243.6,1023037.4,1086281.1,1211086.7,1242567.8
12000,Florida,7,  Personal consumption expenditures,699466.2,723026.7,763955,804074.9,835530.6,878744.1,929973.5,966780.8,964080.3,1114052.2,1234950.8
12000,Florida,,Real per capita dollar statistics (constant 2012 dollars),,,,,,,,,,,
12000,Florida,8,  Real per capita personal income 4,41069,40258,41919,43693,44045,45928,47453,49813,51344,53258,(NA)
12000,Florida,9,  Real per capita PCE 5,35871,36180,37065,38080,38536,39117,40307,41140,39548,43223,(NA)
12000,Florida,,Per capita current dollar statistics,,,,,,,,,,,
12000,Florida,10,  Per capita personal income 6,41204,40733,42865,44945,45720,48439,51009,53640,56561,63078,64806
12000,Florida,11,  Per capita disposable personal income 7,37382,36526,38285,39849,40999,42650,45626,47907,50315,55483,55859
12000,Florida,12,  Per capita personal consumption expenditures (PCE) 8,36295,37064,38593,39913,40682,42102,44005,45273,44655,51038,55516
12000,Florida,,Price indexes,,,,,,,,,,,
12000,Florida,13,  Regional price parities (RPPs) 9,101.29,101.015,101.035,101.517,101.479,100.959,100.463,99.843,100.713,101.43,(NA)
12000,Florida,14,  Implicit regional price deflator 10,101.29,102.382,103.952,104.68,105.688,107.07,108.818,109.76,111.937,117.274,(NA)
12000,Florida,,Employment,,,,,,,,,,,
12000,Florida,15,  Total employment (number of jobs),10249034,10539527,10937534,11367164,11682273,12098388,12556216,12761155,12719592,13458025,14227252
13000,Georgia,,Real dollar statistics,,,,,,,,,,,
13000,Georgia,1,  Real GDP (millions of chained 2017 dollars) 1,(NA),(NA),(NA),(NA),(NA),583543.3,600934.7,620792.4,602321.8,639236,655827.3
